userId,username,totalPoints
4908650,"im a fancy lad",22.088936
23139001,"penguinplay",21.939712
11383358,"Drxvmik",21.939712
8925266,"Haadez",21.790488
8329753,"yukin1014",21.790488
10913504,"Kuukoisbestgirl",21.790488
10826957,"escace",21.790488
12061914,"Mistermotus",21.790488
12147277,"-Kedama",21.790488
7010761,"Kingling",21.790488
13621727,"Flemes",21.790488
14287201,"Purpol",21.790488
14592820,"Daf0nz",21.790488
12857925,"Jordan2090",21.790488
22080319,"trigon",21.790488
16044967,"mayreel",21.790488
7673764,"uyak0",21.492040
11959709,"CallMeRed",20.745920
3261991,"239hachiman",20.745920
32487032,"gxsty",20.745920
14480201,"alsper05",20.745920
10937890,"yukinasimp",20.745920
4321876,"KoaLeahq",20.447472
6765641,"heikneuter",20.447472
11113490,"Legend_OZ",20.447472
10064064,"Majewski",20.447472
10640486,"Naigo",20.447472
4659319,"seegii",20.447472
16702873,"distant_waves",20.447472
11141578,"Emilbus",20.298248
10569381,"Pregnancy",20.298248
11758404,"Belladonna",20.298248
14733785,"dawza",20.298248
16762558,"Peterbot",20.298248
